apps/iot_ui/iot_ui/templates/pages/iot_management.py +42,iot_management,
apps/iot_ui/iot_ui/templates/pages/iot_applist.html +70,iot_ver,网关版本
apps/iot_ui/iot_ui/templates/pages/gateways_list.html +69,last_updated,最后更新
apps/iot_ui/iot_ui/templates/pages/iot_ent_structure.html +174,member_id,成员ID
apps/iot_ui/iot_ui/templates/pages/iot_ent_structure.html +173,member_name,成员名称
apps/iot_ui/iot_ui/templates/pages/iot_applist.html +68,name,名称
apps/iot_ui/iot_ui/templates/pages/iot_bunchcode.html +62,new bunchcode,新绑定码
apps/iot_ui/iot_ui/templates/pages/gateways_list.html +45,offline,离线
apps/iot_ui/iot_ui/templates/pages/iot_console.html +86,offline gateways,离线网关
apps/iot_ui/iot_ui/templates/pages/iot_console.html +99,offline gateways exceeds 7days,离线超7天网关
apps/iot_ui/iot_ui/templates/pages/gateways_list.html +42,offline_7d,离线7天
apps/iot_ui/iot_ui/templates/pages/gateways_list.html +48,online,在线
apps/iot_ui/iot_ui/templates/pages/iot_console.html +69,online gateways,在线网关
apps/iot_ui/iot_ui/templates/pages/iot_applist.html +73,operation,操作
apps/iot_ui/iot_ui/templates/pages/iot_applist.html +72,owner,所属
apps/iot_ui/iot_ui/templates/pages/iot_bunchcode.html +40,private bunchcode,私有绑定码
apps/iot_ui/iot_ui/templates/pages/iot_bunchcode.html +126,private_bunch_codes,私有绑定码
apps/iot_ui/iot_ui/templates/pages/iot_applist.html +105,protocol,协议
apps/iot_ui/iot_ui/templates/pages/iot_applist.html +110,star,star
apps/iot_ui/iot_ui/templates/pages/iot_console.html +56,total gateways,网关总数
apps/iot_ui/iot_ui/templates/pages/iot_event.html +58,unread,未读
